region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Alberta,2022-02-01,,estimate,2088,2268.3,900.3,1171.3,1644,1904.2,2292.5,2682.1,4000.7
Alberta,2022-02-02,,estimate,2242.5,2426.2,938.7,1274.3,1773.8,2049.1,2452.4,2864,4239.2
Alberta,2022-02-03,,estimate,2346.6,2529.4,941.9,1374.9,1872.1,2157,2556.9,2975.3,4318.5
Alberta,2022-02-04,,estimate,2383.2,2557.7,918.4,1444.7,1925.2,2193.2,2580.5,2988.7,4300.5
Alberta,2022-02-05,,estimate,2361.1,2514.4,880.7,1445.9,1893.4,2176.6,2546.6,2938.6,4150.6
Alberta,2022-02-06,,estimate,2265.4,2413.4,839.1,1389.1,1834.2,2092.6,2441,2814.4,3979.7
Alberta,2022-02-07,,estimate,2120.7,2268,798.4,1293.3,1721.6,1951,2308.5,2650.6,3736.3
Alberta,2022-02-08,,estimate,1965.5,2100.9,759.8,1160.2,1573.2,1794.7,2138.1,2455.8,3488.5
Alberta,2022-02-09,,estimate,1792.2,1926,722.3,1042.4,1413.7,1630.3,1966.5,2272.2,3182.7
Alberta,2022-02-10,,estimate,1626.8,1753.5,684.9,925.1,1267.2,1478.7,1792.2,2096.6,2963.5
Alberta,2022-02-11,,estimate,1475.5,1590.7,646.7,799.5,1125.3,1330.4,1613.5,1903.2,2790.1
Alberta,2022-02-12,,estimate,1326.2,1441.4,608,700.8,1004.8,1192.8,1460.9,1750.9,2592.6
Alberta,2022-02-13,,estimate,1199.5,1307.8,569.1,618.8,898.9,1070.9,1341.6,1596.2,2373.6
Alberta,2022-02-14,,estimate,1081,1190.1,530.7,555.9,812.7,973,1214.2,1444.5,2181.1
Alberta,2022-02-15,,estimate,984.2,1088,493.6,500.8,736,883.2,1106.9,1324.1,2014.7
Alberta,2022-02-16,,estimate,901,1000.2,458.5,459.7,675.8,809.5,1014.6,1214.8,1873.2
