region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Alberta,2022-02-01,,estimate,1253,2532.1,3638,26,388.8,821.2,1834.4,3178.2,9203.2
Alberta,2022-02-02,,estimate,588,1110,1481.6,18,192,409.6,829.4,1450.2,3933.4
Alberta,2022-02-03,,estimate,572,1041,1396,14,163.8,377,839.8,1402,3478.2
Alberta,2022-02-04,,estimate,595.5,1162.2,1513.7,17,187.8,411,876.8,1484.2,4356.4
Alberta,2022-02-05,,estimate,671.5,1326.7,1934.4,15.9,189,450.6,988.8,1691.2,4798.4
Alberta,2022-02-06,,estimate,561,1116.6,1708.9,16,164,370.6,790.4,1372.5,3996.7
Alberta,2022-02-07,,estimate,505.5,1103.2,1837.6,13,162.8,342.6,769.4,1315.2,4096
Alberta,2022-02-08,,estimate,1931,4128.8,6206.1,52,556.2,1262.8,2734,5085.8,15247.6
Alberta,2022-02-09,,estimate,941,1877.8,2861.2,22,283,595,1356.4,2381.5,6484.9
Alberta,2022-02-10,,estimate,930.5,1928.1,2929.6,25,288,620.2,1334.4,2408,7253.7
Alberta,2022-02-11,,estimate,900.5,1819,2868.5,26.9,267,610,1314.2,2223.2,6488.4
Alberta,2022-02-12,,estimate,972.5,1994.7,2802.4,22,301.2,665,1468.4,2527.5,7367.2
Alberta,2022-02-13,,estimate,757,1535.2,2329.6,21.9,210,499.4,1091.4,1890,5604.8
Alberta,2022-02-14,,estimate,627.5,1229.3,1729.4,15,194,429.6,892,1527.8,4683
Alberta,2022-02-15,,estimate,1883.5,3984.2,6146.3,43.9,565.5,1288.2,2844.8,5080.5,14471.3
Alberta,2022-02-16,,estimate,887,1761,2657.5,23,257.5,589.6,1229.8,2190.2,6649.3
Alberta,2022-02-17,,estimate,800,1514.1,2084.5,20,270.2,541,1122,1966.5,5311.6
Alberta,2022-02-18,,estimate,734.5,1463.5,2302.7,21.9,223,484,1075,1883,5101.4
Alberta,2022-02-19,,estimate,670,1334.6,1931.2,15,196,443.6,951,1654.5,4973.1
Alberta,2022-02-20,,estimate,540,1100.5,1738.7,18,177,374.2,762.4,1357.5,3948.4
Alberta,2022-02-21,,estimate,386.5,810,1264.1,9,104,252.6,571.8,991.2,2963.7
Alberta,2022-02-22,,estimate,1247.5,2705.5,4480.6,34,365,809.6,1789.4,3148,9798.2
Alberta,2022-02-23,,estimate,513.5,1055.3,1675.3,15,164.8,344,740.4,1278.2,3842.3
Alberta,2022-02-24,,estimate,433,907.5,1373.9,11.9,141,285,633.6,1137,3394.2
Alberta,2022-02-25,,estimate,425.5,885.8,1364.5,12,134.8,291.6,600.8,1097.2,3093.7
Alberta,2022-02-26,,estimate,404,807.8,1204.3,11.9,115,268,579.4,1015.2,3017.8
Alberta,2022-02-27,,estimate,294,592.3,937.4,5,85.8,198,412.4,724.5,2163.2
Alberta,2022-02-28,,estimate,232.5,519.1,866.8,6,64.8,150.6,349.4,624,1848.5
Alberta,2022-03-01,,estimate,800,1681.9,2628.1,19,236,510,1142,2012,6611.3
Alberta,2022-03-02,,estimate,334,699.4,1005.7,9,106.8,234,488.8,885.8,2681.4
Alberta,2022-03-03,,estimate,301,600.5,845.7,8,91.8,206,449,782.2,2029
Alberta,2022-03-04,,estimate,290,598.3,907.1,8,87.8,185.6,422.8,770.2,2143.1
Alberta,2022-03-05,,estimate,297.5,585.4,835.6,7,89,192.6,424,744.2,2107.8
Alberta,2022-03-06,,estimate,227,482.8,696.1,6,71,150,345.4,611.2,1731.3
Alberta,2022-03-07,,estimate,198,400.8,595.3,5,57,128.6,280,509,1479.1
Alberta,2022-03-08,,estimate,631,1336,2204.6,15,191,409.6,877.4,1569.8,4917.7
Alberta,2022-03-09,,estimate,293.5,599.5,879.3,10,96.8,198,425.4,722.5,2225.8
Alberta,2022-03-10,,estimate,251.5,540.7,794.9,7,73.8,170,379.8,665,1993.1
Alberta,2022-03-11,,estimate,251,506.4,743.7,7,78,169,365,635.2,1847.4
Alberta,2022-03-12,,estimate,273.5,542.8,760.7,7,85,186,395,692.5,2006
Alberta,2022-03-13,,estimate,210.5,420.8,652.2,4,61,142,300.4,543.2,1516
Alberta,2022-03-14,,estimate,171,358.5,526.8,4,57,118,249,453.2,1264.4
Alberta,2022-03-15,,estimate,609.5,1249,1774.4,15,174.5,382.8,874,1621,4613.7
Alberta,2022-03-16,,estimate,258,542.7,818.7,7,78.5,183.2,380.4,672.5,1988
Alberta,2022-03-17,,estimate,231.5,491.9,850.9,5,64,147,343,598.5,1869
