date,confirm,region
2022-02-01,1980,Alberta
2022-02-01,1236,British Columbia
2022-02-01,487,Manitoba
2022-02-01,228,New Brunswick
2022-02-01,179,Newfoundland and Labrador
2022-02-01,208,Northwest Territories
2022-02-01,274,Nova Scotia
2022-02-01,83,Nunavut
2022-02-01,2622,Ontario
2022-02-01,362,Prince Edward Island
2022-02-01,2730,Quebec
2022-02-01,0,Repatriated Travellers
2022-02-01,666,Saskatchewan
2022-02-01,22,Yukon
2022-02-02,3024,Alberta
2022-02-02,1774,British Columbia
2022-02-02,524,Manitoba
2022-02-02,381,New Brunswick
2022-02-02,248,Newfoundland and Labrador
2022-02-02,148,Northwest Territories
2022-02-02,395,Nova Scotia
2022-02-02,0,Nunavut
2022-02-02,3909,Ontario
2022-02-02,238,Prince Edward Island
2022-02-02,3816,Quebec
2022-02-02,0,Repatriated Travellers
2022-02-02,622,Saskatchewan
2022-02-02,18,Yukon
2022-02-03,2370,Alberta
2022-02-03,1518,British Columbia
2022-02-03,357,Manitoba
2022-02-03,411,New Brunswick
2022-02-03,198,Newfoundland and Labrador
2022-02-03,142,Northwest Territories
2022-02-03,401,Nova Scotia
2022-02-03,71,Nunavut
2022-02-03,4098,Ontario
2022-02-03,186,Prince Edward Island
2022-02-03,3592,Quebec
2022-02-03,0,Repatriated Travellers
2022-02-03,849,Saskatchewan
2022-02-03,22,Yukon
2022-02-04,2086,Alberta
2022-02-04,1495,British Columbia
2022-02-04,620,Manitoba
2022-02-04,401,New Brunswick
2022-02-04,258,Newfoundland and Labrador
2022-02-04,187,Northwest Territories
2022-02-04,594,Nova Scotia
2022-02-04,44,Nunavut
2022-02-04,4047,Ontario
2022-02-04,199,Prince Edward Island
2022-02-04,3400,Quebec
2022-02-04,0,Repatriated Travellers
2022-02-04,773,Saskatchewan
2022-02-04,18,Yukon
2022-02-05,2106,Alberta
2022-02-05,1326,British Columbia
2022-02-05,0,Manitoba
2022-02-05,296,New Brunswick
2022-02-05,222,Newfoundland and Labrador
2022-02-05,0,Northwest Territories
2022-02-05,382,Nova Scotia
2022-02-05,0,Nunavut
2022-02-05,3204,Ontario
2022-02-05,0,Prince Edward Island
2022-02-05,2955,Quebec
2022-02-05,0,Repatriated Travellers
2022-02-05,1009,Saskatchewan
2022-02-05,0,Yukon
2022-02-06,1389,Alberta
2022-02-06,1118,British Columbia
2022-02-06,849,Manitoba
2022-02-06,154,New Brunswick
2022-02-06,110,Newfoundland and Labrador
2022-02-06,0,Northwest Territories
2022-02-06,349,Nova Scotia
2022-02-06,0,Nunavut
2022-02-06,2887,Ontario
2022-02-06,154,Prince Edward Island
2022-02-06,2568,Quebec
2022-02-06,0,Repatriated Travellers
2022-02-06,733,Saskatchewan
2022-02-06,0,Yukon
2022-02-07,1123,Alberta
2022-02-07,843,British Columbia
2022-02-07,258,Manitoba
2022-02-07,261,New Brunswick
2022-02-07,166,Newfoundland and Labrador
2022-02-07,296,Northwest Territories
2022-02-07,313,Nova Scotia
2022-02-07,54,Nunavut
2022-02-07,2088,Ontario
2022-02-07,186,Prince Edward Island
2022-02-07,2240,Quebec
2022-02-07,0,Repatriated Travellers
2022-02-07,0,Saskatchewan
2022-02-07,49,Yukon
2022-02-08,1667,Alberta
2022-02-08,1117,British Columbia
2022-02-08,409,Manitoba
2022-02-08,259,New Brunswick
2022-02-08,210,Newfoundland and Labrador
2022-02-08,73,Northwest Territories
2022-02-08,219,Nova Scotia
2022-02-08,22,Nunavut
2022-02-08,2092,Ontario
2022-02-08,264,Prince Edward Island
2022-02-08,2504,Quebec
2022-02-08,0,Repatriated Travellers
2022-02-08,0,Saskatchewan
2022-02-08,17,Yukon
2022-02-09,1684,Alberta
2022-02-09,1187,British Columbia
2022-02-09,467,Manitoba
2022-02-09,321,New Brunswick
2022-02-09,250,Newfoundland and Labrador
2022-02-09,110,Northwest Territories
2022-02-09,365,Nova Scotia
2022-02-09,36,Nunavut
2022-02-09,3162,Ontario
2022-02-09,187,Prince Edward Island
2022-02-09,3361,Quebec
2022-02-09,0,Repatriated Travellers
2022-02-09,0,Saskatchewan
2022-02-09,9,Yukon
2022-02-10,1363,Alberta
2022-02-10,1318,British Columbia
2022-02-10,565,Manitoba
2022-02-10,351,New Brunswick
2022-02-10,243,Newfoundland and Labrador
2022-02-10,97,Northwest Territories
2022-02-10,365,Nova Scotia
2022-02-10,0,Nunavut
2022-02-10,3201,Ontario
2022-02-10,210,Prince Edward Island
2022-02-10,2894,Quebec
2022-02-10,0,Repatriated Travellers
2022-02-10,0,Saskatchewan
2022-02-10,25,Yukon
2022-02-11,1400,Alberta
2022-02-11,1038,British Columbia
2022-02-11,664,Manitoba
2022-02-11,359,New Brunswick
2022-02-11,267,Newfoundland and Labrador
2022-02-11,217,Northwest Territories
2022-02-11,389,Nova Scotia
2022-02-11,67,Nunavut
2022-02-11,2907,Ontario
2022-02-11,204,Prince Edward Island
2022-02-11,2662,Quebec
2022-02-11,0,Repatriated Travellers
2022-02-11,0,Saskatchewan
2022-02-11,16,Yukon
2022-02-12,1146,Alberta
2022-02-12,1151,British Columbia
2022-02-12,0,Manitoba
2022-02-12,303,New Brunswick
2022-02-12,244,Newfoundland and Labrador
2022-02-12,0,Northwest Territories
2022-02-12,309,Nova Scotia
2022-02-12,0,Nunavut
2022-02-12,2944,Ontario
2022-02-12,227,Prince Edward Island
2022-02-12,2359,Quebec
2022-02-12,0,Repatriated Travellers
2022-02-12,2522,Saskatchewan
2022-02-12,0,Yukon
2022-02-13,866,Alberta
2022-02-13,883,British Columbia
2022-02-13,978,Manitoba
2022-02-13,266,New Brunswick
2022-02-13,237,Newfoundland and Labrador
2022-02-13,0,Northwest Territories
2022-02-13,243,Nova Scotia
2022-02-13,0,Nunavut
2022-02-13,2265,Ontario
2022-02-13,203,Prince Edward Island
2022-02-13,1870,Quebec
2022-02-13,0,Repatriated Travellers
2022-02-13,0,Saskatchewan
2022-02-13,0,Yukon
2022-02-14,635,Alberta
2022-02-14,667,British Columbia
2022-02-14,188,Manitoba
2022-02-14,190,New Brunswick
2022-02-14,174,Newfoundland and Labrador
2022-02-14,335,Northwest Territories
2022-02-14,158,Nova Scotia
2022-02-14,120,Nunavut
2022-02-14,1765,Ontario
2022-02-14,101,Prince Edward Island
2022-02-14,1431,Quebec
2022-02-14,0,Repatriated Travellers
