region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Alberta,2022-02-01,,estimate,1.82540289575446,1.83553778149892,0.183818667708957,1.55893909962758,1.70389799680871,1.77586649883916,1.8754968808555,1.95266873495375,2.15223159346513
Alberta,2022-02-02,,estimate,1.64586401733197,1.65260611165482,0.149161903257599,1.42391535565771,1.55031062695499,1.60719052314037,1.68513290052496,1.74835760483436,1.9093190938054
Alberta,2022-02-03,,estimate,1.48429243780875,1.48764297946497,0.143054803722217,1.25828793578209,1.39191264704928,1.4486107715902,1.51624467400686,1.5815240301013,1.73359483805758
Alberta,2022-02-04,,estimate,1.34075855384692,1.34085933628267,0.148728746676171,1.09355596267694,1.24457429009654,1.30337034114518,1.37350086904884,1.43932568482886,1.59068968411581
Alberta,2022-02-05,,estimate,1.20998393713278,1.21204638407356,0.155701181715011,0.95061698908658,1.10961908679072,1.17654076179889,1.25011031325545,1.3136429394749,1.47326838173887
Alberta,2022-02-06,,estimate,1.09843404725976,1.10058986889136,0.160171478179913,0.834220964830057,0.994673368014294,1.06281862487772,1.13763686268247,1.21231612151471,1.36349170774367
Alberta,2022-02-07,,estimate,1.00313492057644,1.00553959936122,0.161407728415881,0.739269865947377,0.895543057957017,0.964913778247417,1.04433589708674,1.1188918299101,1.27149606332761
Alberta,2022-02-08,,estimate,0.924791822286578,0.925715992757374,0.159728263023524,0.667151687262567,0.816900167587796,0.884839860058427,0.964870485335085,1.03471312255177,1.1918096868902
Alberta,2022-02-09,,estimate,0.861466942823813,0.859825618080791,0.155734938635247,0.604346628041521,0.75301574190722,0.819700189739132,0.899388980893224,0.966007070795447,1.11948732111435
Alberta,2022-02-10,,estimate,0.808173169020451,0.806561688484275,0.150056303432813,0.557401194135797,0.700026506322948,0.767217692408725,0.844920535777625,0.908438714084085,1.05878085595126
Alberta,2022-02-11,,estimate,0.764962291608588,0.76467635612446,0.143277140306856,0.528978912501383,0.665102880014194,0.727552102550099,0.799002670548833,0.861677543543045,1.0094611470085
Alberta,2022-02-12,,estimate,0.733794586655078,0.733022233997947,0.135932903519608,0.511649237255304,0.639873982041505,0.696324501487714,0.765903476934895,0.824531556412508,0.96365047348041
Alberta,2022-02-13,,estimate,0.710526605106765,0.710567449602329,0.128521685455088,0.501708501874538,0.625306182455495,0.675592940637091,0.743082560712283,0.796803654781953,0.925342746549795
Alberta,2022-02-14,,estimate,0.695382875377938,0.696391607870087,0.121516840560324,0.496900927757871,0.614907217851377,0.664313279329083,0.725885015778518,0.777191982419902,0.895809527390123
Alberta,2022-02-15,,estimate,0.687607727866277,0.689670221503921,0.11537974115408,0.500410667502625,0.613179321999321,0.659743575662161,0.718814636437954,0.763028214754004,0.877795943999745
Alberta,2022-02-16,,estimate,0.68625959376199,0.689653273906847,0.110579646667325,0.506322253997591,0.617573086047227,0.660624810581099,0.717444753893661,0.763331874128328,0.867748574389713
Alberta,2022-02-17,,estimate,0.691787618486066,0.695640548157945,0.107616457261247,0.517981798209617,0.62469820941471,0.667244163178325,0.720058515854917,0.768765449640561,0.875443470732454
Alberta,2022-02-18,,estimate,0.703012101750722,0.706953805537564,0.107005772416241,0.532509371008713,0.633522798556097,0.676139864110141,0.731521949248544,0.777329610523722,0.887781072704603
Alberta,2022-02-19,,estimate,0.716441138424607,0.722905799602783,0.109161208043695,0.553659779417797,0.651562402229191,0.69094111265306,0.744186817656241,0.789514066759889,0.913481985355235
Alberta,2022-02-20,,estimate,0.732759408972142,0.742769120262443,0.114174892445158,0.573164350439437,0.668577788852301,0.707599377847582,0.759853159547669,0.809255123586176,0.941328753140072
Alberta,2022-02-21,,estimate,0.752549010334741,0.765751818552778,0.121641923924563,0.589911127177372,0.68648689575081,0.729194758884688,0.781523740532319,0.831905643666537,0.976572244277403
Alberta,2022-02-22,,estimate,0.775752359138331,0.790987821880499,0.130699629906101,0.608777718257896,0.703596566248377,0.749793712297864,0.802207629251537,0.860361756681669,1.01981610108575
Alberta,2022-02-23,,estimate,0.798563869305433,0.817546596610479,0.140259496214539,0.627281347150346,0.722568997590011,0.772616796956448,0.829350970088637,0.887747813020432,1.06068860176464
